epoch,train_loss,train_acc,val_loss,val_acc,val_f1
1,1.7635,0.2978,1.514,0.4221,0.3899
2,1.4873,0.4403,1.3579,0.4884,0.4715
3,1.3586,0.4884,1.2889,0.529,0.5185
4,1.2634,0.525,1.2771,0.5299,0.5176
5,1.1889,0.5641,1.2377,0.5381,0.528
6,1.1168,0.5888,1.2431,0.5531,0.5467
7,1.0567,0.6103,1.2488,0.5688,0.567
8,0.9813,0.6409,1.2687,0.5415,0.5389
9,0.9171,0.6652,1.294,0.558,0.5551
10,0.8556,0.6883,1.333,0.5522,0.5514
11,0.7883,0.7196,1.3579,0.5572,0.5577
12,0.7172,0.7428,1.4127,0.5506,0.5479
