epoch,train_loss,train_acc,val_loss,val_acc,val_f1,time_s
1,1.7431571538175517,0.3143034825870647,1.5956480739128531,0.3781094527363184,0.35008847992229086,26.77560229296796
2,1.4607153248431077,0.4487562189054726,1.483104039187455,0.4338308457711443,0.4237911736696624,24.994936852017418
3,1.331599498862651,0.5016169154228856,1.4276308113069676,0.47562189054726367,0.4693664365206501,24.806212056195363
4,1.2560087710470702,0.5309701492537313,1.385189077154321,0.49850746268656715,0.4926928200969061,25.08676145412028
5,1.1874762205342155,0.5609452736318408,1.394445733644476,0.48955223880597015,0.48288946489260404,24.971550362883136
6,1.1210685004049272,0.5827114427860697,1.392368006824854,0.5084577114427861,0.49904301723017397,25.01425081002526
7,1.0527501148370961,0.6171641791044776,1.3825575598436801,0.5044776119402985,0.4967085015153962,25.2334548458457
8,0.9982610982448901,0.6335820895522388,1.4256752939366584,0.5124378109452736,0.5026863143914821,25.737945457920432
9,0.9421595898433704,0.6563432835820896,1.4564557679256989,0.5144278606965174,0.508815359941778,25.295386225916445
10,0.8792357394944376,0.6794776119402985,1.4848372410778976,0.5184079601990049,0.5091571662603637,24.90153484698385
11,0.8198906618564283,0.699502487562189,1.5277995627910936,0.5154228855721393,0.5086066360675913,24.875168617116287
12,0.7698970042650972,0.7212686567164179,1.5501451200513698,0.5144278606965174,0.5119440920682731,24.86970782582648
13,0.7127000386442118,0.7427860696517413,1.6009899970903918,0.5084577114427861,0.5073830297452732,24.914069373859093
14,0.6670223150680314,0.7588308457711442,1.6421880655620822,0.5054726368159204,0.5005963934942775,24.892754693049937
15,0.6089516430351865,0.7800995024875622,1.725924119190197,0.5134328358208955,0.5124867745967465,24.849860614165664
16,0.5787520243753841,0.788681592039801,1.8154607007752603,0.5154228855721393,0.5142381089101191,25.018314241897315
17,0.5370899345151228,0.8044776119402985,1.8609490995976463,0.5124378109452736,0.5111724859221847,25.02838093880564
18,0.4910706657082287,0.8223880597014925,1.9194926195476778,0.5124378109452736,0.5123185139449763,24.834065596805885
19,0.4561369927368354,0.8375621890547263,2.0163855106676394,0.5054726368159204,0.5042402198773026,24.896422591991723
20,0.4285424780489793,0.8508706467661692,2.0775505517845723,0.5223880597014925,0.5245640161505609,24.90511175384745
21,0.4003269552591428,0.8557213930348259,2.1106542440196177,0.5124378109452736,0.5077546474012683,25.060000482946634
22,0.37397991648286727,0.8685323383084577,2.179441925779504,0.5114427860696518,0.5108884606049929,24.848795001162216
23,0.3669529639962894,0.870273631840796,2.2601668393433982,0.5034825870646766,0.49784766665918273,24.78658615099266
24,0.3323948841189864,0.8820895522388059,2.2143521731172626,0.5124378109452736,0.5101932587419595,25.089075991185382
25,0.3186528122840236,0.8898009950248756,2.2879543712483117,0.5024875621890548,0.4984927733884595,25.105382596841082
